EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
32.627,10.487,7.591,-1.778,7.347,6.833,6.449,5.152,0.053,0.968,0.278,0.275,0.580,0.610,93.333,88839.000,1.000
16.760,2.082,0.883,-2.331,2.076,-0.545,0.063,0.975,0.053,0.969,0.281,0.275,0.488,0.580,93.333,88840.000,1.000
3.372,-5.893,-5.861,-3.448,-5.335,-9.127,-6.548,-3.012,0.053,0.970,0.278,0.244,0.305,0.610,93.333,88841.000,1.000
12.413,-3.379,-4.624,-1.704,-6.285,-10.445,-6.408,-3.196,0.052,0.970,0.277,0.336,0.397,0.488,93.333,88842.000,1.000
26.171,7.300,4.027,3.699,0.860,-3.939,0.447,0.693,0.053,0.972,0.277,0.305,0.305,0.580,93.333,88843.000,1.000
23.192,13.896,10.054,7.141,6.301,0.331,1.667,0.569,0.056,0.972,0.279,0.244,0.244,0.519,93.333,88844.000,1.000
14.801,11.444,8.265,5.095,3.550,-2.895,-6.682,-6.309,0.054,0.970,0.276,0.275,0.214,0.580,93.333,88845.000,1.000
20.247,7.250,5.178,2.052,-1.535,-6.671,-12.930,-11.401,0.055,0.971,0.280,0.183,0.275,0.549,93.333,88846.000,1.000
30.779,7.212,6.614,1.706,-2.738,-5.362,-12.137,-11.579,0.054,0.969,0.278,0.153,0.336,0.427,93.333,88847.000,1.000
28.651,8.557,9.345,1.620,-1.766,-1.958,-11.078,-12.858,0.054,0.969,0.279,0.092,0.336,0.458,93.333,88848.000,1.000
20.024,7.811,8.778,0.204,-1.334,0.564,-10.473,-15.604,0.054,0.967,0.278,0.122,0.275,0.458,93.333,88849.000,1.000
20.360,6.336,5.741,0.297,-0.596,3.159,-5.021,-13.678,0.055,0.968,0.280,0.183,0.275,0.427,93.333,88850.000,1.000
25.637,6.744,3.832,3.721,1.508,6.555,2.805,-6.889,0.055,0.967,0.280,0.031,0.183,0.519,93.333,88851.000,1.000
23.772,8.251,4.002,7.280,3.350,9.651,4.855,-2.825,0.056,0.966,0.277,0.061,0.275,0.397,93.333,88852.000,1.000
20.129,8.219,4.699,7.856,3.434,11.699,2.349,-3.814,0.056,0.966,0.272,0.061,0.336,0.458,93.333,88853.000,1.000
27.159,7.094,5.779,7.192,3.504,13.126,5.644,-2.076,0.056,0.967,0.275,0.092,0.366,0.397,93.333,88854.000,1.000
38.225,7.090,7.431,6.451,4.678,13.096,15.493,5.776,0.054,0.969,0.276,0.122,0.336,0.336,93.333,88855.000,1.000
37.357,7.564,7.310,2.707,4.182,9.140,19.339,11.963,0.055,0.969,0.276,0.183,0.397,0.275,93.333,88856.000,1.000
29.188,5.817,2.682,-4.895,-1.120,0.251,8.853,9.010,0.054,0.967,0.276,0.183,0.366,0.183,93.333,88857.000,1.000
31.040,1.299,-4.889,-11.375,-9.673,-10.535,-9.349,-1.352,0.054,0.965,0.277,0.153,0.427,0.244,93.333,88858.000,1.000
39.385,-2.288,-8.715,-10.456,-14.420,-16.727,-20.102,-9.617,0.055,0.965,0.276,0.214,0.397,0.275,93.333,88859.000,1.000
36.901,-0.016,-3.623,-0.884,-9.689,-13.936,-15.316,-7.405,0.054,0.967,0.275,0.183,0.336,0.366,93.333,88860.000,1.000
27.473,7.290,6.747,11.568,0.948,-5.756,-3.130,2.477,0.053,0.968,0.277,0.153,0.580,0.336,93.333,88861.000,1.000
27.048,10.906,12.014,17.890,7.163,-1.517,1.807,8.014,0.053,0.968,0.276,0.275,0.458,0.366,93.333,88862.000,1.000
30.259,4.316,6.309,13.883,3.420,-5.674,-3.768,3.135,0.052,0.966,0.278,0.244,0.458,0.336,93.333,88863.000,1.000
22.754,-6.339,-3.637,5.022,-4.608,-11.746,-9.250,-4.639,0.054,0.967,0.275,0.244,0.397,0.214,93.333,88864.000,1.000
12.579,-10.415,-7.322,-0.919,-9.357,-12.335,-8.533,-8.775,0.053,0.968,0.275,0.336,0.366,0.275,93.333,88865.000,1.000
