EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.998,12.047,17.621,13.882,16.729,11.500,10.180,12.446,0.021,0.975,0.260,0.702,0.854,0.031,93.333,16464.000,1.000
13.037,14.823,18.777,14.019,19.580,9.162,5.744,6.160,0.022,0.974,0.262,0.793,0.885,-0.061,93.333,16465.000,1.000
10.514,19.488,23.561,17.698,18.539,11.931,9.234,5.899,0.023,0.974,0.260,0.732,0.763,-0.092,93.333,16466.000,1.000
11.062,24.252,29.279,20.450,13.356,16.920,12.589,6.049,0.022,0.976,0.263,0.610,0.854,-0.061,93.333,16467.000,1.000
15.006,23.664,28.949,17.121,11.341,16.665,6.245,-1.109,0.023,0.978,0.263,0.580,0.763,0.031,93.333,16468.000,1.000
16.404,18.239,23.698,12.819,14.963,10.874,-4.484,-9.644,0.024,0.977,0.261,0.519,0.824,0.214,93.333,16469.000,1.000
13.778,14.548,20.690,13.655,17.642,6.860,-7.960,-8.753,0.024,0.976,0.259,0.458,0.793,0.275,93.333,16470.000,1.000
10.594,14.381,20.548,16.782,15.350,7.240,-4.803,-0.485,0.023,0.975,0.262,0.397,0.763,0.397,93.333,16471.000,1.000
10.564,15.628,20.047,18.732,14.188,9.366,-0.916,7.093,0.023,0.974,0.260,0.366,0.732,0.549,93.333,16472.000,1.000
12.461,16.828,18.112,17.563,17.867,11.896,4.292,11.537,0.021,0.975,0.262,0.305,0.610,0.641,93.333,16473.000,1.000
9.656,15.523,13.675,10.870,19.343,13.628,11.151,13.625,0.021,0.975,0.261,0.275,0.519,0.641,93.333,16474.000,1.000
2.415,11.220,7.590,3.191,15.527,13.057,15.255,14.698,0.019,0.975,0.261,0.275,0.549,0.824,93.333,16475.000,1.000
-0.570,5.934,2.121,-0.102,14.022,9.487,12.427,14.436,0.020,0.975,0.264,0.275,0.488,0.854,93.333,16476.000,1.000
0.204,-1.236,-4.350,-3.960,16.867,2.312,2.470,9.262,0.018,0.974,0.260,0.122,0.366,0.946,93.333,16477.000,1.000
-4.498,-10.422,-12.501,-11.553,16.704,-6.056,-8.584,-0.393,0.018,0.974,0.260,0.061,0.275,0.946,93.333,16478.000,1.000
-12.548,-14.907,-16.136,-14.892,14.144,-8.826,-10.597,-5.623,0.019,0.976,0.262,0.061,0.153,0.916,93.333,16479.000,1.000
-11.078,-8.517,-9.637,-8.096,20.018,-1.529,1.417,1.409,0.019,0.975,0.261,0.031,0.183,0.885,93.333,16480.000,1.000
0.450,3.053,1.906,2.752,34.475,9.902,18.305,14.701,0.020,0.977,0.263,0.031,-0.031,0.824,93.333,16481.000,1.000
5.053,7.544,7.240,7.116,40.808,13.378,22.991,18.249,0.020,0.974,0.265,-0.031,-0.092,0.732,93.333,16482.000,1.000
-5.760,2.795,3.494,1.471,29.050,6.008,10.690,5.893,0.020,0.975,0.264,-0.061,-0.092,0.671,93.333,16483.000,1.000
-17.592,-2.895,-2.627,-8.922,12.672,-3.321,-6.189,-12.331,0.020,0.972,0.263,0.000,0.000,0.702,93.333,16484.000,1.000
-14.579,-3.635,-4.903,-14.828,11.255,-6.559,-14.687,-24.102,0.021,0.971,0.261,-0.092,-0.092,0.641,93.333,16485.000,1.000
-1.722,0.928,-1.083,-10.539,23.594,-2.670,-12.500,-25.436,0.022,0.970,0.260,-0.061,-0.122,0.580,93.333,16486.000,1.000
5.293,8.454,6.851,-1.419,32.088,5.162,-4.645,-20.192,0.022,0.974,0.261,-0.031,-0.092,0.580,93.333,16487.000,1.000
4.603,15.538,14.291,3.879,31.182,12.914,3.287,-13.562,0.023,0.972,0.262,-0.153,-0.031,0.519,93.333,16488.000,1.000
5.863,19.876,18.652,5.348,31.068,17.313,7.159,-8.322,0.024,0.971,0.260,-0.153,0.031,0.519,93.333,16489.000,1.000
9.257,20.169,18.946,5.213,34.330,16.396,3.740,-8.080,0.025,0.969,0.260,-0.031,0.031,0.397,93.333,16490.000,1.000
7.468,16.073,14.165,1.632,32.105,10.632,-6.560,-14.807,0.025,0.970,0.261,-0.031,0.000,0.366,93.333,16491.000,1.000
2.347,10.645,6.810,-4.414,24.795,4.022,-15.807,-20.831,0.026,0.969,0.259,-0.061,0.000,0.366,93.333,16492.000,1.000
1.360,9.348,3.306,-6.890,24.471,2.799,-12.811,-14.363,0.027,0.969,0.263,0.000,-0.061,0.397,93.333,16493.000,1.000
2.272,12.172,5.162,-3.582,31.355,7.454,1.312,3.027,0.027,0.969,0.259,0.000,0.092,0.397,93.333,16494.000,1.000
-2.947,10.604,4.234,-1.311,31.182,8.171,9.158,14.207,0.026,0.971,0.260,0.153,0.122,0.214,93.333,16495.000,1.000
-12.039,-0.094,-5.506,-6.599,22.281,-1.014,1.280,8.858,0.028,0.971,0.259,0.061,0.183,0.183,93.333,16496.000,1.000
-15.933,-12.005,-17.743,-15.644,19.029,-10.460,-8.812,-2.531,0.028,0.971,0.258,0.061,0.153,0.214,93.333,16497.000,1.000
-14.595,-15.934,-22.575,-19.342,25.034,-9.728,-6.928,-5.268,0.027,0.971,0.260,0.061,0.244,0.153,93.333,16498.000,1.000
-13.878,-13.042,-18.764,-14.503,27.911,-3.065,2.289,0.998,0.028,0.972,0.263,0.000,0.153,0.153,93.333,16499.000,1.000
-12.390,-9.607,-13.167,-8.012,21.338,-0.247,7.318,5.978,0.026,0.972,0.263,0.061,0.305,0.000,93.333,16500.000,1.000
-6.524,-8.540,-12.120,-8.596,13.652,-3.141,5.337,2.361,0.024,0.974,0.262,0.031,0.305,0.000,93.333,16501.000,1.000
-1.608,-9.391,-15.412,-14.435,13.039,-7.462,0.452,-7.429,0.023,0.974,0.260,0.061,0.397,0.000,93.333,16502.000,1.000
-3.479,-11.045,-18.947,-17.339,16.872,-9.771,-3.575,-16.029,0.022,0.975,0.262,-0.061,0.366,-0.061,93.333,16503.000,1.000
-6.062,-11.929,-20.561,-16.062,19.758,-9.318,-5.123,-19.470,0.021,0.975,0.260,-0.031,0.488,0.000,93.333,16504.000,1.000
-1.036,-9.765,-19.249,-14.151,22.468,-6.270,-3.874,-18.545,0.021,0.975,0.260,-0.153,0.366,0.031,93.333,16505.000,1.000
8.605,-3.108,-12.927,-11.515,28.353,0.100,0.065,-15.064,0.020,0.976,0.262,-0.244,0.244,0.000,93.333,16506.000,1.000
14.559,5.503,-3.182,-7.167,34.780,8.766,5.179,-11.157,0.020,0.975,0.263,-0.366,0.275,-0.092,93.333,16507.000,1.000
14.997,9.947,2.809,-3.519,33.376,13.800,6.686,-10.347,0.021,0.976,0.260,-0.366,0.214,-0.153,93.333,16508.000,1.000
13.155,7.204,1.126,-3.397,22.840,10.184,0.769,-14.240,0.021,0.975,0.263,-0.366,0.092,-0.183,93.333,16509.000,1.000
10.450,0.924,-4.003,-7.177,12.770,0.855,-9.463,-19.910,0.020,0.975,0.260,-0.427,0.122,-0.183,93.333,16510.000,1.000
7.346,-3.383,-6.941,-12.306,10.033,-6.512,-16.661,-23.322,0.019,0.974,0.261,-0.488,0.061,-0.275,93.333,16511.000,1.000
6.043,-4.385,-6.631,-14.433,12.409,-8.776,-18.645,-24.310,0.020,0.976,0.261,-0.580,-0.061,-0.305,93.333,16512.000,1.000
6.935,-5.093,-5.475,-12.197,15.537,-10.229,-20.949,-26.391,0.020,0.978,0.264,-0.519,-0.122,-0.244,93.333,16513.000,1.000
